,field,value,measurement,timestamp,entity_id,domain
0,value,62.0,W,2025-11-17 15:08:18.636954+00:00,05_kjokkenlys15a_active_power,sensor
1,value,63.0,W,2025-11-17 15:20:33.797199+00:00,05_kjokkenlys15a_active_power,sensor
2,value,87.0,W,2025-11-17 15:25:03.746011+00:00,05_kjokkenlys15a_active_power,sensor
3,value,1465.0,W,2025-11-17 15:28:33.996744+00:00,05_kjokkenlys15a_active_power,sensor
4,value,84.0,W,2025-11-17 15:33:03.828329+00:00,05_kjokkenlys15a_active_power,sensor
5,value,85.0,W,2025-11-17 15:35:33.680599+00:00,05_kjokkenlys15a_active_power,sensor
6,value,84.0,W,2025-11-17 15:36:03.993429+00:00,05_kjokkenlys15a_active_power,sensor
7,value,83.0,W,2025-11-17 15:39:03.989499+00:00,05_kjokkenlys15a_active_power,sensor
8,value,85.0,W,2025-11-17 15:40:49.699204+00:00,05_kjokkenlys15a_active_power,sensor
9,value,83.0,W,2025-11-17 15:42:03.652232+00:00,05_kjokkenlys15a_active_power,sensor
10,value,82.0,W,2025-11-17 15:44:03.961922+00:00,05_kjokkenlys15a_active_power,sensor
11,value,81.0,W,2025-11-17 15:47:34.242424+00:00,05_kjokkenlys15a_active_power,sensor
12,value,82.0,W,2025-11-17 15:49:33.641100+00:00,05_kjokkenlys15a_active_power,sensor
13,value,81.0,W,2025-11-17 15:55:34.165322+00:00,05_kjokkenlys15a_active_power,sensor
14,value,80.0,W,2025-11-17 16:06:04.256501+00:00,05_kjokkenlys15a_active_power,sensor
15,value,81.0,W,2025-11-17 16:15:19.621594+00:00,05_kjokkenlys15a_active_power,sensor
16,value,80.0,W,2025-11-17 16:17:25.767998+00:00,05_kjokkenlys15a_active_power,sensor
17,value,79.0,W,2025-11-17 16:34:25.365239+00:00,05_kjokkenlys15a_active_power,sensor
18,value,80.0,W,2025-11-17 16:34:57.657276+00:00,05_kjokkenlys15a_active_power,sensor
19,value,79.0,W,2025-11-17 16:35:27.227005+00:00,05_kjokkenlys15a_active_power,sensor
20,value,80.0,W,2025-11-17 16:35:57.922097+00:00,05_kjokkenlys15a_active_power,sensor
21,value,79.0,W,2025-11-17 16:38:55.499189+00:00,05_kjokkenlys15a_active_power,sensor
22,value,80.0,W,2025-11-17 16:41:55.427276+00:00,05_kjokkenlys15a_active_power,sensor
23,value,79.0,W,2025-11-17 16:43:25.748290+00:00,05_kjokkenlys15a_active_power,sensor
24,value,80.0,W,2025-11-17 16:43:55.566936+00:00,05_kjokkenlys15a_active_power,sensor
25,value,79.0,W,2025-11-17 16:44:25.427009+00:00,05_kjokkenlys15a_active_power,sensor
26,value,58.0,W,2025-11-17 16:46:38.815238+00:00,05_kjokkenlys15a_active_power,sensor
27,value,57.0,W,2025-11-17 16:50:38.869670+00:00,05_kjokkenlys15a_active_power,sensor
28,value,58.0,W,2025-11-17 16:51:08.945443+00:00,05_kjokkenlys15a_active_power,sensor
29,value,57.0,W,2025-11-17 16:57:06.909469+00:00,05_kjokkenlys15a_active_power,sensor
30,value,58.0,W,2025-11-17 17:06:12.951828+00:00,05_kjokkenlys15a_active_power,sensor
31,value,57.0,W,2025-11-17 17:06:43.357057+00:00,05_kjokkenlys15a_active_power,sensor
32,value,58.0,W,2025-11-17 17:11:49.858028+00:00,05_kjokkenlys15a_active_power,sensor
33,value,57.0,W,2025-11-17 17:13:19.703888+00:00,05_kjokkenlys15a_active_power,sensor
34,value,58.0,W,2025-11-17 17:18:49.832475+00:00,05_kjokkenlys15a_active_power,sensor
35,value,57.0,W,2025-11-17 17:21:50.572909+00:00,05_kjokkenlys15a_active_power,sensor
36,value,58.0,W,2025-11-17 17:28:41.336504+00:00,05_kjokkenlys15a_active_power,sensor
37,value,57.0,W,2025-11-17 17:28:56.228413+00:00,05_kjokkenlys15a_active_power,sensor
38,value,58.0,W,2025-11-17 17:29:26.619413+00:00,05_kjokkenlys15a_active_power,sensor
39,value,57.0,W,2025-11-17 17:34:26.470835+00:00,05_kjokkenlys15a_active_power,sensor
40,value,58.0,W,2025-11-17 17:35:28.198295+00:00,05_kjokkenlys15a_active_power,sensor
41,value,57.0,W,2025-11-17 17:35:58.302840+00:00,05_kjokkenlys15a_active_power,sensor
42,value,1625.0,W,2025-11-17 17:38:56.219335+00:00,05_kjokkenlys15a_active_power,sensor
43,value,1613.0,W,2025-11-17 17:39:26.881855+00:00,05_kjokkenlys15a_active_power,sensor
44,value,1622.0,W,2025-11-17 17:39:58.516463+00:00,05_kjokkenlys15a_active_power,sensor
45,value,1611.0,W,2025-11-17 17:40:28.187229+00:00,05_kjokkenlys15a_active_power,sensor
46,value,3649.0,W,2025-11-17 17:40:58.807488+00:00,05_kjokkenlys15a_active_power,sensor
47,value,2157.0,W,2025-11-17 17:43:56.376034+00:00,05_kjokkenlys15a_active_power,sensor
48,value,57.0,W,2025-11-17 17:44:26.409017+00:00,05_kjokkenlys15a_active_power,sensor
49,value,58.0,W,2025-11-17 17:44:58.157617+00:00,05_kjokkenlys15a_active_power,sensor
50,value,57.0,W,2025-11-17 17:46:31.158478+00:00,05_kjokkenlys15a_active_power,sensor
51,value,58.0,W,2025-11-17 17:48:31.084668+00:00,05_kjokkenlys15a_active_power,sensor
52,value,57.0,W,2025-11-17 17:53:01.128636+00:00,05_kjokkenlys15a_active_power,sensor
53,value,58.0,W,2025-11-17 17:55:02.133476+00:00,05_kjokkenlys15a_active_power,sensor
54,value,57.0,W,2025-11-17 17:56:00.985580+00:00,05_kjokkenlys15a_active_power,sensor
55,value,58.0,W,2025-11-17 18:03:47.723518+00:00,05_kjokkenlys15a_active_power,sensor
56,value,57.0,W,2025-11-17 18:04:47.814282+00:00,05_kjokkenlys15a_active_power,sensor
57,value,59.0,W,2025-11-17 18:17:54.338983+00:00,05_kjokkenlys15a_active_power,sensor
58,value,57.0,W,2025-11-17 18:28:23.872906+00:00,05_kjokkenlys15a_active_power,sensor
59,value,81.0,W,2025-11-17 18:33:53.610240+00:00,05_kjokkenlys15a_active_power,sensor
60,value,82.0,W,2025-11-17 18:38:08.932492+00:00,05_kjokkenlys15a_active_power,sensor
61,value,81.0,W,2025-11-17 18:45:56.328765+00:00,05_kjokkenlys15a_active_power,sensor
62,value,80.0,W,2025-11-17 18:53:23.699365+00:00,05_kjokkenlys15a_active_power,sensor
63,value,81.0,W,2025-11-17 18:54:23.752746+00:00,05_kjokkenlys15a_active_power,sensor
64,value,80.0,W,2025-11-17 18:54:53.703438+00:00,05_kjokkenlys15a_active_power,sensor
65,value,81.0,W,2025-11-17 18:55:23.919977+00:00,05_kjokkenlys15a_active_power,sensor
66,value,80.0,W,2025-11-17 19:01:35.032785+00:00,05_kjokkenlys15a_active_power,sensor
67,value,82.0,W,2025-11-17 19:04:16.956026+00:00,05_kjokkenlys15a_active_power,sensor
68,value,81.0,W,2025-11-17 19:08:46.870536+00:00,05_kjokkenlys15a_active_power,sensor
69,value,80.0,W,2025-11-17 19:15:16.769290+00:00,05_kjokkenlys15a_active_power,sensor
70,value,79.0,W,2025-11-17 19:15:46.880160+00:00,05_kjokkenlys15a_active_power,sensor
71,value,80.0,W,2025-11-17 19:16:46.819753+00:00,05_kjokkenlys15a_active_power,sensor
72,value,79.0,W,2025-11-17 19:17:16.903571+00:00,05_kjokkenlys15a_active_power,sensor
73,value,80.0,W,2025-11-17 19:20:46.745780+00:00,05_kjokkenlys15a_active_power,sensor
74,value,79.0,W,2025-11-17 19:23:16.915977+00:00,05_kjokkenlys15a_active_power,sensor
75,value,80.0,W,2025-11-17 19:24:46.781796+00:00,05_kjokkenlys15a_active_power,sensor
76,value,79.0,W,2025-11-17 19:26:46.737593+00:00,05_kjokkenlys15a_active_power,sensor
77,value,80.0,W,2025-11-17 19:27:16.758155+00:00,05_kjokkenlys15a_active_power,sensor
